env_timestamp,temperature_c,humidity_pct,particle_count_m3,station_id
2024-03-01T06:00:00,21.31,41.92,311,STA2
2024-03-01T06:01:30,21.74,38.66,64,STA2
2024-03-01T06:03:00,21.79,36.77,328,STA2
2024-03-01T06:04:30,21.45,41.32,329,STA3
2024-03-01T06:06:00,21.93,39.29,308,STA1
2024-03-01T06:07:30,21.91,42.61,331,STA2
2024-03-01T06:09:00,21.57,38.55,414,STA2
2024-03-01T06:10:30,21.25,34.33,81,STA1
2024-03-01T06:12:00,21.97,33.9,125,STA3
2024-03-01T06:13:30,21.48,42.95,192,STA2
2024-03-01T06:15:00,21.54,43.17,359,STA2
2024-03-01T06:16:30,21.4,37.46,442,STA3
2024-03-01T06:18:00,21.23,36.85,463,STA1
2024-03-01T06:19:30,21.06,42.38,311,STA3
2024-03-01T06:21:00,21.69,34.68,234,STA3
2024-03-01T06:22:30,21.26,35.32,235,STA1
2024-03-01T06:24:00,22.42,39.93,76,STA3
2024-03-01T06:25:30,21.17,36.82,259,STA3
2024-03-01T06:27:00,21.12,37.98,280,STA2
2024-03-01T06:28:30,21.65,37.51,143,STA2
2024-03-01T06:30:00,21.96,39.01,395,STA3
2024-03-01T06:31:30,21.52,42.22,415,STA1
2024-03-01T06:33:00,21.67,38.27,185,STA1
2024-03-01T06:34:30,20.95,39.93,461,STA2
2024-03-01T06:36:00,21.3,31.85,98,STA3
2024-03-01T06:37:30,21.18,37.85,459,STA2
2024-03-01T06:39:00,20.93,35.47,395,STA1
2024-03-01T06:40:30,21.54,34.34,150,STA2
2024-03-01T06:42:00,20.83,35.37,342,STA1
2024-03-01T06:43:30,21.1,37.0,189,STA3
2024-03-01T06:45:00,21.34,40.75,409,STA2
2024-03-01T06:46:30,21.25,34.02,122,STA2
2024-03-01T06:48:00,21.62,38.09,160,STA2
2024-03-01T06:49:30,21.59,36.55,188,STA3
2024-03-01T06:51:00,21.77,37.02,139,STA3
2024-03-01T06:52:30,21.73,41.01,199,STA2
